date,country,cum_new_ppl_fully_vaxxed,avg_new_confirmed,avg_new_deceased,cum_deceased
2020-12-13,United States of America,1355.0,180420.0,1434.0,1434
2020-12-14,United States of America,1360.0,192350.5,1594.0,3188
2020-12-15,United States of America,1386.0,195389.66666666666,2043.3333333333333,6130
2020-12-16,United States of America,1589.0,205493.5,2388.5,9554
2020-12-17,United States of America,2100.0,210377.8,2599.4,12997
2020-12-18,United States of America,2721.0,242359.83333333334,2624.0,15744
2020-12-19,United States of America,3453.0,236345.14285714287,2620.285714285714,18342
2020-12-20,United States of America,3961.0,231451.875,2489.0,19912
2020-12-21,United States of America,4807.0,226048.22222222222,2402.8888888888887,21626
2020-12-22,United States of America,6904.0,222958.5,2477.4,24774
2020-12-23,United States of America,8584.0,222793.63636363635,2556.4545454545455,28121
2020-12-24,United States of America,9457.0,220235.41666666666,2576.3333333333335,30916
2020-12-25,United States of America,9510.0,214485.6923076923,2508.3076923076924,32608
2020-12-26,United States of America,9876.0,211901.7857142857,2421.714285714286,33904
2020-12-27,United States of America,10211.0,207475.86666666667,2349.2,35238
2020-12-28,Germany,0.0,17675.5,990.5,1981
2020-12-28,United States of America,12563.0,205434.5,2313.5625,37017
2020-12-29,Germany,589.0,22634.333333333332,981.6666666666666,2945
2020-12-29,Switzerland,4.0,71.5,3.0,6
2020-12-29,United States of America,15621.0,205065.58823529413,2375.470588235294,40383
2020-12-30,Germany,593.0,22706.75,874.5,3498
2020-12-30,Switzerland,4.0,65.25,2.75,11
2020-12-30,United States of America,21174.0,206530.11111111112,2452.4444444444443,44144
2020-12-31,Germany,733.0,20703.4,766.8,3834
2020-12-31,Switzerland,4.0,65.2,2.4,12
2020-12-31,United States of America,23225.0,207683.1052631579,2496.0,47424
2021-01-01,Germany,733.0,18972.0,691.0,4146
2021-01-01,Switzerland,4.0,66.66666666666667,2.6666666666666665,16
2021-01-01,United States of America,24841.0,205686.9,2492.35,49847
2021-01-02,Germany,1009.0,17668.428571428572,635.4285714285714,4448
2021-01-02,Switzerland,4.0,56.25,2.375,19
2021-01-02,United States of America,27078.0,209430.95238095237,2483.285714285714,52149
2021-01-03,Brazil,6.0,8691.0,149.0,298
2021-01-03,Germany,1010.0,16947.0,674.0,5392
2021-01-03,Switzerland,4.0,54.3,2.2,22
2021-01-03,United States of America,29188.0,209522.45454545456,2434.3636363636365,53556
2021-01-04,Brazil,6.0,12462.666666666666,280.3333333333333,841
2021-01-04,Germany,1010.0,17423.666666666668,712.3333333333334,6411
2021-01-04,Switzerland,4.0,51.61538461538461,2.3846153846153846,31
2021-01-04,United States of America,71298.0,207950.8260869565,2406.391304347826,55347
2021-01-05,Brazil,6.0,18839.6,403.8,2019
2021-01-05,Germany,1035.0,18320.4,748.1,7481
2021-01-05,Israel,0.0,8321.5,30.5,61
2021-01-05,Switzerland,4.0,54.53333333333333,2.4,36
2021-01-05,United States of America,153665.0,208759.91666666666,2453.3333333333335,58880
2021-01-06,Brazil,6.0,26271.333333333332,543.5,3261
2021-01-06,Germany,1036.0,19550.272727272728,788.0909090909091,8669
2021-01-06,Israel,0.0,8173.666666666667,35.0,105
2021-01-06,Switzerland,4.0,56.125,2.375,38
2021-01-06,United States of America,319635.0,212392.0,2508.2,62705
2021-01-07,Canada,657.0,8356.0,172.5,345
2021-01-07,Germany,1040.0,19978.916666666668,812.6666666666666,9752
2021-01-07,Israel,3.0,8041.75,38.25,153
