date,cum_new_ppl_fully_vaxxed,avg_new_confirmed,Country
2020-12-13,1355.0,180420.0,United States of America
2020-12-14,1360.0,192350.5,United States of America
2020-12-15,1386.0,195389.66666666666,United States of America
2020-12-16,1589.0,205493.5,United States of America
2020-12-17,2097.0,210377.8,United States of America
2020-12-18,2708.0,242359.83333333334,United States of America
2020-12-19,3434.0,236345.14285714287,United States of America
2020-12-20,3940.0,231451.875,United States of America
2020-12-21,4780.0,226048.22222222222,United States of America
2020-12-22,6874.0,222958.5,United States of America
2020-12-23,8542.0,222793.63636363635,United States of America
2020-12-24,9410.0,220235.41666666666,United States of America
2020-12-25,9462.0,214485.6923076923,United States of America
2020-12-26,9826.0,211901.7857142857,United States of America
2020-12-27,10156.0,207475.86666666667,United States of America
2020-12-28,12486.0,205434.5,United States of America
2020-12-29,15522.0,205065.58823529413,United States of America
2020-12-30,21043.0,206530.11111111112,United States of America
2020-12-31,23078.0,207683.1052631579,United States of America
2021-01-01,24644.0,205686.9,United States of America
2021-01-02,26867.0,209430.95238095237,United States of America
2021-01-03,28970.0,209522.45454545456,United States of America
2021-01-04,71017.0,207950.8260869565,United States of America
2021-01-05,153301.0,208759.91666666666,United States of America
2021-01-06,319188.0,212392.0,United States of America
2021-01-07,588055.0,214884.42307692306,United States of America
2021-01-08,938461.0,218537.44444444444,United States of America
2021-01-09,1062191.0,219592.85714285713,United States of America
2021-01-10,1129110.0,219625.10344827586,United States of America
2021-01-11,1442089.0,218930.53333333333,United States of America
2021-01-12,1746923.0,88431.0506329114,United States of America
2021-01-13,2239241.0,57563.62790697674,United States of America
2021-01-14,2367972.0,58863.96923076923,United States of America
2021-01-15,2963671.0,43757.56989247312,United States of America
2021-01-16,3031382.0,44658.61497326203,United States of America
2021-01-17,3070727.0,45407.14893617021,United States of America
2021-01-18,3285113.0,45919.49206349206,United States of America
2021-01-19,4021918.0,36649.57142857143,United States of America
2021-01-20,4556957.0,31079.70099667774,United States of America
2021-01-21,5021517.0,27266.008403361346,United States of America
2021-01-22,5557215.0,24490.39225181598,United States of America
2021-01-23,5951785.0,22305.09381663113,United States of America
2021-01-24,6212312.0,20474.539047619048,United States of America
2021-01-25,6795110.0,18944.40791738382,United States of America
2021-01-26,7472511.0,17712.255485893416,United States of America
2021-01-27,8377241.0,16709.71366906475,United States of America
2021-01-28,9333178.0,15865.662234042553,United States of America
2021-01-29,10292253.0,15161.844252163164,United States of America
2021-01-30,10976799.0,14491.506928406467,United States of America
2021-01-31,11469977.0,13841.169014084508,United States of America
2021-02-01,12258224.0,13288.241836734695,United States of America
2021-02-02,13044037.0,12779.188042430087,United States of America
2021-02-03,14176804.0,12334.127970749543,United States of America
2021-02-04,15499267.0,11942.362293657688,United States of America
2021-02-05,16942845.0,11590.772350993377,United States of America
2021-02-06,18103613.0,11245.562845849803,United States of America
2021-02-07,19026153.0,10898.019667170953,United States of America
2021-02-08,20037841.0,10565.952864394489,United States of America
2021-02-09,21196794.0,10275.1643454039,United States of America
2021-02-10,22766577.0,10012.68720696584,United States of America
2021-02-11,24475924.0,9776.601935483872,United States of America
2021-02-12,26429734.0,9553.770379589298,United States of America
2021-02-13,27932658.0,9332.55889423077,United States of America
2021-02-14,29086275.0,9079.59151656014,United States of America
2021-02-15,29583427.0,9130.011033681765,United States of America
2021-02-16,31242387.0,8901.215289488477,United States of America
2021-02-17,32635034.0,8698.756535947712,United States of America
2021-02-18,34196468.0,8509.743264659272,United States of America
2021-02-19,36904416.0,8337.093333333334,United States of America
2021-02-20,38405857.0,8170.714000996512,United States of America
2021-02-21,39672324.0,7999.049903100775,United States of America
2021-02-22,40997196.0,7834.84441301273,United States of America
2021-02-23,42400768.0,7696.206152433425,United States of America
2021-02-24,44275347.0,7565.38255033557,United States of America
2021-02-25,46395406.0,7442.162303664922,United States of America
2021-02-26,48737317.0,7324.3226905065985,United States of America
2021-02-27,50579681.0,7208.95178719867,United States of America
2021-02-28,51920542.0,7082.6796589524965,United States of America
2021-03-01,53310294.0,6963.323809523809,United States of America
2021-03-02,54892779.0,6852.337213814513,United States of America
2021-03-03,56730693.0,6754.444570994685,United States of America
2021-03-04,58672244.0,6660.725380899294,United States of America
2021-03-05,60667443.0,6571.565138282387,United States of America
2021-03-06,62376703.0,6479.467736185383,United States of America
2021-03-07,63498696.0,6379.169461914745,United States of America
2021-03-08,64902106.0,6316.681973954764,United States of America
2021-03-09,66268882.0,6234.032952252858,United States of America
2021-03-10,68027609.0,6160.491089108911,United States of America
2021-03-11,70040145.0,6110.314322747894,United States of America
2021-03-12,72352821.0,6041.582113303628,United States of America
2021-03-13,74989371.0,5966.469355847405,United States of America
2021-03-14,75801211.0,5887.3835279655805,United States of America
2021-03-15,77343489.0,5821.669788519637,United States of America
2021-03-16,78895768.0,5754.699346405228,United States of America
2021-03-17,80763906.0,5696.988018702513,United States of America
2021-03-18,82734668.0,5639.272857964347,United States of America
2021-03-19,84666946.0,5584.726089417091,United States of America
2021-03-20,86430403.0,5527.23704735376,United States of America
2021-03-21,87818958.0,5462.496434448711,United States of America
2021-03-22,89239644.0,5410.138573743922,United States of America
2021-03-23,90809709.0,5358.098722724853,United States of America
2021-03-24,92839078.0,5322.2566858940745,United States of America
2021-03-25,95281058.0,5280.58165374677,United States of America
2021-03-26,98081769.0,5243.238665308202,United States of America
2021-03-27,100515426.0,5198.5846308387745,United States of America
2021-03-28,102429662.0,5148.97152055473,United States of America
2021-03-29,104515891.0,5111.800439667806,United States of America
2021-03-30,106678524.0,5071.46265060241,United States of America
2021-03-31,109413288.0,5038.791250594389,United States of America
2021-04-01,112633544.0,5008.312294697325,United States of America
2021-04-02,115938692.0,4974.6491431218155,United States of America
2021-04-03,118680739.0,4939.010288065843,United States of America
2021-04-04,120515839.0,4893.689841986456,United States of America
2021-04-05,122687056.0,4864.072893446278,United States of America
2021-04-06,124787808.0,4831.104359313078,United States of America
2021-04-07,127742215.0,4806.60178338408,United States of America
2021-04-08,131125908.0,4781.612161581435,United States of America
2021-04-09,134771105.0,4759.4252653927815,United States of America
2021-04-10,138276269.0,4730.100083927822,United States of America
2021-04-11,140696499.0,4694.900871007881,United States of America
2021-04-12,143319582.0,4668.418614186142,United States of America
2021-04-13,146108793.0,4645.807863802189,United States of America
